stock1,stock2,open,loss,reward,open_num,action choose
1326,2542,2.4000000000000017,9.0,0.3406000000000233,1,94
1101,2880,1.600000000000001,16.0,0.2975750000000161,1,54
1101,2891,0.5,5.0,0.02022499999998217,1,0
1477,1504,0.5,5.0,0.2505000000000166,1,0
1477,2801,1.6500000000000008,16.0,0.6445000000000078,1,57
1504,2317,0.5,5.0,1.583300000000051,1,0
1504,3189,0.9000000000000004,9.0,1.4534000000000162,1,18
1722,2301,3.800000000000003,23.0,0.191900000000004,1,153
1722,2324,1.5000000000000009,5.0,0.2935250000000167,1,49
1722,2344,1.0500000000000005,14.0,0.33515000000000583,1,27
1722,2353,10.0,25.0,0.0,0,299
1722,2542,1.1500000000000006,22.0,0.4625000000000199,1,29
1722,2801,3.2000000000000024,16.0,0.27620000000001005,1,128
1722,2880,0.5,5.0,0.2798750000000112,1,0
1722,2883,10.0,25.0,0.0,0,299
1722,3189,2.150000000000001,5.0,0.8395500000000169,1,79
2049,2891,4.100000000000003,7.0,1.4367500000000462,1,166
2105,2542,2.5500000000000016,23.0,0.4485500000000116,1,97
2105,2891,1.9500000000000013,13.0,0.1375500000000116,1,71
2231,2347,0.5,5.0,0.7605000000000359,1,0
2301,2606,10.0,25.0,0.0,0,299
2301,2891,0.5,5.0,0.2536499999999933,1,0
2301,3189,10.0,25.0,0.0,0,299
2308,2542,1.4500000000000008,11.0,1.1382500000000275,1,48
2313,2324,0.7000000000000002,10.0,0.03310000000000102,1,13
2313,2449,2.3500000000000014,9.0,0.3981500000000153,1,90
2313,3189,1.550000000000001,13.0,0.6775000000000091,1,52
2313,6269,10.0,25.0,0.0,0,299
2317,2379,0.5,5.0,2.028750000000059,1,0
2317,2448,0.5,5.0,1.5883000000000609,1,0
2317,2449,3.750000000000002,9.0,1.033600000000014,1,151
2317,2542,0.5,5.0,0.3077000000000538,1,0
2317,2606,4.250000000000004,7.0,0.4154750000000149,1,171
2317,2801,2.3000000000000016,11.0,0.4492500000000206,1,87
2317,2882,1.7500000000000009,15.0,0.3143500000000117,1,60
2317,2884,4.900000000000004,15.0,0.3778500000000165,1,199
2317,2891,1.8500000000000008,11.0,1.6937500000000512,1,65
2317,6269,1.7500000000000009,15.0,1.33755000000005,1,60
2317,9917,3.650000000000003,6.0,1.9573999999999785,1,146
2330,2884,10.0,25.0,0.0,0,299
2330,3481,0.5,5.0,0.210125000000005,1,0
2344,2354,2.2500000000000018,12.0,0.12120000000001595,1,84
2344,2448,2.3500000000000014,9.0,0.6194000000000129,1,90
2324,2344,2.600000000000002,7.0,0.35087500000001626,1,98
2324,2353,10.0,25.0,0.0,0,299
2324,2379,1.4500000000000008,11.0,0.13962500000000946,1,48
2324,2448,2.3500000000000014,9.0,0.3975250000000017,1,90
2324,2449,2.7500000000000018,14.0,0.1306000000000047,1,109
2324,2618,0.5,5.0,0.1665250000000036,1,0
2324,2883,10.0,25.0,0.0,0,299
2324,2884,1.8500000000000008,11.0,0.3906250000000142,1,65
